Periode;Telur Ayam
1;27,000
2;27,000
3;27,000
4;27,000
5;27,000
6;27,000
7;27,000
8;27,000
9;27,000
10;27,000
11;27,000
12;27,000
13;26,950
14;26,950
15;26,950
16;26,950
17;26,950
18;26,950
19;26,750
20;26,700
21;26,700
22;26,700
23;26,700
24;26,700
25;26,700
26;26,700
27;26,700
28;26,700
29;26,700
30;26,700
31;26,500
32;26,500
33;26,500
34;26,600
35;26,600
36;26,600
37;26,750
38;26,750
39;26,750
40;26,750
41;26,750
42;26,600
43;26,600
44;26,600
45;26,600
46;26,600
47;26,600
48;26,600
49;26,600
50;26,600
51;26,600
52;26,600
53;26,600
54;27,950
55;29,350
56;30,000
57;30,650
58;30,650
59;31,400
60;31,400
61;31,400
62;31,600
63;31,600
64;31,000
65;31,000
66;31,000
67;31,000
68;31,000
69;31,000
70;31,000
71;31,000
72;31,000
73;30,500
74;30,500
75;30,350
76;29,600
77;29,600
78;28,750
79;28,950
80;28,450
81;28,450
82;28,200
83;27,850
84;27,700
85;27,500
86;27,500
87;27,350
88;27,350
89;27,350
90;27,350
91;27,200
92;27,200
93;27,500
94;27,500
95;27,350
96;27,500
97;27,500
98;27,500
99;27,500
100;27,500
101;27,500
102;28,350
103;28,350
104;28,700
105;28,850
106;29,500
107;30,150
108;30,350
109;30,500
110;30,500
111;30,500
112;30,500
113;30,500
114;30,500
115;30,350
116;30,350
117;30,350
118;30,350
119;30,000
120;30,000
121;30,000
122;28,850
123;28,700
124;28,500
125;28,500
126;28,500
127;28,350
128;28,350
129;28,350
130;28,350
131;28,350
132;28,350
133;28,350
134;28,350
135;28,350
136;28,350
137;28,350
138;28,000
139;27,850
140;27,850
141;27,700
142;27,550
143;27,550
144;27,200
145;27,050
146;27,050
147;26,050
148;26,050
149;26,050
150;26,200
151;26,200
152;28,700
153;28,850
154;29,000
155;29,000
156;28,850
157;28,850
158;28,850
159;28,850
160;28,200
161;28,200
162;28,200
163;28,200
164;27,850
165;27,850
166;27,850
167;27,700
168;27,700
169;27,700
170;27,500
171;27,500
172;27,350
173;27,350
174;27,350
175;27,350
176;27,350
177;27,350
178;27,350
179;27,500
180;27,500
181;27,500
182;27,500
183;28,000
184;28,000
185;28,000
186;28,000
187;27,700
188;27,700
189;27,700
190;27,700
191;28,000
192;28,500
193;28,500
194;28,500
195;28,500
196;28,500
197;28,700
198;28,700
199;28,700
200;28,700
201;28,700
202;28,850
203;29,000
204;29,000
205;29,000
206;29,000
207;29,200
208;29,200
209;29,200
210;29,200
211;29,200
212;29,200
213;29,200
214;29,200
215;29,000
216;28,950
217;28,750
218;28,750
219;28,750
220;28,750
221;28,750
222;28,450
223;28,450
224;28,450
225;28,450
226;28,750
227;28,750
228;28,450
229;28,450
230;28,450
231;28,450
232;28,450
233;27,850
234;27,850
235;27,850
236;27,850
237;27,850
238;27,850
239;27,850
240;27,700
241;27,700
242;27,600
243;27,500
244;27,500
245;27,500
246;27,500
247;28,450
248;28,600
249;28,600
250;28,600
251;28,600
252;28,700
253;28,850
254;28,850
255;28,850
256;29,100
257;29,100
258;29,100
259;29,100
260;29,100
261;29,250
262;29,250
263;29,250
264;29,250
265;29,250
266;29,250
267;30,150
268;30,150
269;30,150
270;30,850
271;30,850
272;31,350
273;31,350
274;31,350
275;31,350
276;31,350
277;31,400
278;31,400
279;31,400
280;31,400
281;31,400
282;31,250
283;30,900
284;30,900
285;30,900
286;30,750
287;30,500
288;30,500
289;30,500
290;30,350
291;30,350
292;30,000
293;30,000
294;29,850
295;29,850
296;29,850
297;29,850
298;29,850
299;29,850
300;29,850
301;30,000
302;30,000
303;30,000
304;30,000
305;30,000
306;30,000
307;30,000
308;29,850
309;29,850
310;29,850
311;29,850
312;30,650
313;30,650
314;30,850
315;31,000
316;31,000
317;31,650
318;31,650
319;31,650
320;31,650
321;31,650
322;31,850
323;31,850
324;31,850
325;31,850
326;31,850
327;31,650
328;31,500
329;31,500
330;31,500
331;31,500
332;31,500
333;30,500
334;30,350
335;30,350
336;30,350
337;29,950
338;29,950
339;29,950
340;29,950
341;29,950
342;29,700
343;29,700
344;29,700
345;29,500
346;29,500
347;29,200
348;29,200
349;29,200
350;29,200
351;29,200
352;28,850
353;28,850
354;28,700
355;28,850
356;28,850
357;30,650
358;31,150
359;31,150
360;31,150
361;31,150
362;31,150
363;31,150
364;32,500
365;32,500
366;32,500
367;32,000
368;32,000
369;31,850
370;31,850
371;31,850
372;31,650
373;31,650
374;31,650
375;31,650
376;31,650
377;31,650
378;31,650
379;31,650
380;31,650
381;31,650
382;31,650
383;31,650
384;31,650
385;31,650
386;31,650
387;31,650
388;31,650
389;32,500
390;32,500
391;32,500
392;31,800
393;31,350
394;31,350
395;31,350
396;31,350
397;31,000
398;30,650
399;30,850
400;30,500
401;30,200
402;29,500
403;29,500
404;29,700
405;29,500
406;29,500
407;29,700
408;29,700
409;29,700
410;29,700
411;29,000
412;28,600
413;28,450
414;28,250
415;28,250
416;28,250
417;28,100
418;28,100
419;28,100
420;28,100
421;28,100
422;28,100
423;28,100
424;27,950
425;27,950
426;27,950
427;27,700
428;27,700
429;27,600
430;27,450
431;27,600
432;27,850
433;28,000
434;28,000
435;28,000
436;28,000
437;28,000
438;28,000
439;27,850
440;27,850
441;27,850
442;27,700
443;27,700
444;27,700
445;27,700
446;27,500
447;27,200
448;27,200
449;27,200
450;27,050
451;26,850
452;26,700
453;26,700
454;26,700
455;26,350
456;26,350
457;26,050
458;25,850
459;25,550
460;25,550
461;25,550
462;25,550
463;25,550
464;25,700
465;25,700
466;25,700
467;25,700
468;25,700
469;25,700
470;26,200
471;26,200
472;27,200
473;27,200
474;27,200
475;27,200
476;27,200
477;26,750
478;26,700
479;26,700
480;26,350
481;26,350
482;26,050
483;26,050
484;25,850
485;25,800
486;25,800
487;25,800
488;25,800
489;25,800
490;25,700
491;25,700
492;25,700
493;25,550
494;25,550
495;25,550
496;25,550
497;25,200
498;25,200
499;25,200
500;25,200
