Date,Country,City,Specie,count,min,max,median,variance
1/1/2024,CN,Beijing,pm25,263,50,211,154,12937.8
2/1/2024,CN,Beijing,pm25,270,9,220,165,28644.4
3/1/2024,CN,Beijing,pm25,259,5,163,42,28404.2
4/1/2024,CN,Beijing,pm25,281,5,177,155,39254.9
5/1/2024,CN,Beijing,pm25,267,5,164,87,21019.1
6/1/2024,CN,Beijing,pm25,244,5,134,21,5544.84
7/1/2024,CN,Beijing,pm25,258,21,117,50,4565.75
8/1/2024,CN,Beijing,pm25,286,61,157,122,5777.99
9/1/2024,CN,Beijing,pm25,288,5,157,87,15959.1
10/1/2024,CN,Beijing,pm25,280,17,183,65,28407.2
11/1/2024,CN,Beijing,pm25,288,53,186,158,6833.49
12/1/2024,CN,Beijing,pm25,288,55,206,174,6337.99
13/01/2024,CN,Beijing,pm25,288,61,205,114,15074.9
14/01/2024,CN,Beijing,pm25,243,9,107,25,3578.8
15/01/2024,CN,Beijing,pm25,280,17,157,57,16184.6
16/01/2024,CN,Beijing,pm25,287,65,183,151,12870.5
17/01/2024,CN,Beijing,pm25,287,154,181,170,325.85
18/01/2024,CN,Beijing,pm25,287,102,182,161,2664.68
19/01/2024,CN,Beijing,pm25,286,68,162,107,6707.85
20/01/2024,CN,Beijing,pm25,284,13,153,102,14283.2
21/01/2024,CN,Beijing,pm25,224,13,65,30,876.27
22/01/2024,CN,Beijing,pm25,235,13,59,30,930.91
23/01/2024,CN,Beijing,pm25,246,17,57,25,694.85
24/01/2024,CN,Beijing,pm25,274,17,102,42,3572.03
25/01/2024,CN,Beijing,pm25,287,30,107,55,1966.6
26/01/2024,CN,Beijing,pm25,260,46,114,59,1180.71
27/01/2024,CN,Beijing,pm25,260,38,119,57,3805.21
28/01/2024,CN,Beijing,pm25,264,55,153,89,6609.32
29/01/2024,CN,Beijing,pm25,261,59,230,153,17376.2
30/01/2024,CN,Beijing,pm25,286,117,190,173,1282.4
31/01/2024,CN,Beijing,pm25,275,38,191,68,32209.1
1/2/2024,CN,Beijing,pm25,264,13,172,53,25387.6
2/2/2024,CN,Beijing,pm25,288,34,169,117,17135.5
3/2/2024,CN,Beijing,pm25,288,91,177,152,5095.97
4/2/2024,CN,Beijing,pm25,287,74,184,168,2190.68
5/2/2024,CN,Beijing,pm25,288,85,193,157,3794.13
6/2/2024,CN,Beijing,pm25,287,38,181,65,26429.4
7/2/2024,CN,Beijing,pm25,281,46,134,57,3220.61
8/2/2024,CN,Beijing,pm25,275,17,169,50,15530
9/2/2024,CN,Beijing,pm25,287,38,175,117,16076.8
10/2/2024,CN,Beijing,pm25,279,42,159,65,11424
11/2/2024,CN,Beijing,pm25,286,72,168,152,5457.17
12/2/2024,CN,Beijing,pm25,288,82,205,170,5845.25
13/02/2024,CN,Beijing,pm25,286,159,209,181,746.39
14/02/2024,CN,Beijing,pm25,275,13,198,50,47564.2
15/02/2024,CN,Beijing,pm25,273,5,102,25,5112.13
16/02/2024,CN,Beijing,pm25,287,74,165,117,6500.28
17/02/2024,CN,Beijing,pm25,288,132,177,157,383.7
18/02/2024,CN,Beijing,pm25,287,25,181,165,31879.4
19/02/2024,CN,Beijing,pm25,253,13,151,34,1880.03
20/02/2024,CN,Beijing,pm25,245,21,68,46,1267.1
21/02/2024,CN,Beijing,pm25,278,9,99,46,2980.85
22/02/2024,CN,Beijing,pm25,230,9,68,21,1509.15
23/02/2024,CN,Beijing,pm25,283,25,124,76,3447.86
24/02/2024,CN,Beijing,pm25,285,50,173,119,3758.22
25/02/2024,CN,Beijing,pm25,284,34,181,63,10569.5
26/02/2024,CN,Beijing,pm25,283,38,264,147,13436.4
27/02/2024,CN,Beijing,pm25,286,65,168,119,11981.2
28/02/2024,CN,Beijing,pm25,287,46,165,127,11588.4
29/02/2024,CN,Beijing,pm25,262,9,172,34,4652.75
1/3/2024,CN,Beijing,pm25,265,17,107,46,4218.82
2/3/2024,CN,Beijing,pm25,287,63,152,95,3525.75
3/3/2024,CN,Beijing,pm25,282,9,171,74,21514.2
4/3/2024,CN,Beijing,pm25,288,65,157,93,4135.81
5/3/2024,CN,Beijing,pm25,279,78,167,151,1747.76
6/3/2024,CN,Beijing,pm25,279,13,171,89,33293.5
7/3/2024,CN,Beijing,pm25,265,5,182,147,47201.2
8/3/2024,CN,Beijing,pm25,235,13,80,34,2349.83
9/3/2024,CN,Beijing,pm25,287,46,162,112,11478.5
10/3/2024,CN,Beijing,pm25,287,137,184,167,812.32
11/3/2024,CN,Beijing,pm25,287,13,184,134,40401.1
12/3/2024,CN,Beijing,pm25,280,13,175,82,24134.6
13/03/2024,CN,Beijing,pm25,287,34,158,119,8772.78
14/03/2024,CN,Beijing,pm25,278,25,178,91,17282.2
15/03/2024,CN,Beijing,pm25,281,117,191,164,1381.68
16/03/2024,CN,Beijing,pm25,288,21,196,176,46019.3
17/03/2024,CN,Beijing,pm25,266,13,95,30,2663.49
18/03/2024,CN,Beijing,pm25,288,59,163,124,5955.98
19/03/2024,CN,Beijing,pm25,288,13,155,53,8677.54
20/03/2024,CN,Beijing,pm25,277,17,147,53,5506.17
21/03/2024,CN,Beijing,pm25,286,74,172,147,7914.63
22/03/2024,CN,Beijing,pm25,278,13,421,137,30388.1
23/03/2024,CN,Beijing,pm25,288,17,190,161,27629.3
24/03/2024,CN,Beijing,pm25,287,74,173,153,5067.62
25/03/2024,CN,Beijing,pm25,266,91,170,153,2683.34
26/03/2024,CN,Beijing,pm25,287,151,181,165,432.8
27/03/2024,CN,Beijing,pm25,286,165,211,180,1022.98
28/03/2024,CN,Beijing,pm25,286,21,392,74,52917.5
29/03/2024,CN,Beijing,pm25,288,25,174,82,11962.8
30/03/2024,CN,Beijing,pm25,282,17,137,46,8238.88
31/03/2024,CN,Beijing,pm25,274,93,164,119,3921.26
1/4/2024,CN,Beijing,pm25,284,85,170,114,5321.94
2/4/2024,CN,Beijing,pm25,285,87,163,139,4281.12
3/4/2024,CN,Beijing,pm25,288,78,160,124,3504.39
4/4/2024,CN,Beijing,pm25,286,59,157,119,7026.4
5/4/2024,CN,Beijing,pm25,286,55,190,117,15201.9
6/4/2024,CN,Beijing,pm25,287,13,197,160,16436
7/4/2024,CN,Beijing,pm25,255,17,170,42,12838.8
8/4/2024,CN,Beijing,pm25,286,53,175,80,7616.76
9/4/2024,CN,Beijing,pm25,283,50,156,72,3176.78
10/4/2024,CN,Beijing,pm25,285,72,160,117,7697.69
11/4/2024,CN,Beijing,pm25,288,129,231,169,2335.66
12/4/2024,CN,Beijing,pm25,288,78,275,170,17641
13/04/2024,CN,Beijing,pm25,288,70,174,149,7016.28
14/04/2024,CN,Beijing,pm25,288,63,159,114,4894.21
15/04/2024,CN,Beijing,pm25,288,13,188,109,25467.5
16/04/2024,CN,Beijing,pm25,281,21,154,59,6035.11
17/04/2024,CN,Beijing,pm25,286,65,163,134,5443.29
18/04/2024,CN,Beijing,pm25,278,30,171,151,12974.9
19/04/2024,CN,Beijing,pm25,278,42,161,65,2889.93
20/04/2024,CN,Beijing,pm25,279,38,112,61,2098.89
21/04/2024,CN,Beijing,pm25,288,55,176,142,9331.9
22/04/2024,CN,Beijing,pm25,285,63,182,158,2920.52
23/04/2024,CN,Beijing,pm25,279,5,170,21,13649
24/04/2024,CN,Beijing,pm25,286,13,153,80,9011.83
25/04/2024,CN,Beijing,pm25,281,80,181,155,6011.44
26/04/2024,CN,Beijing,pm25,287,25,186,161,2347.73
27/04/2024,CN,Beijing,pm25,288,55,185,153,11651.3
28/04/2024,CN,Beijing,pm25,267,17,87,50,1110.61
29/04/2024,CN,Beijing,pm25,284,34,124,55,2767.02
30/04/2024,CN,Beijing,pm25,263,9,127,34,8492.74
1/5/2024,CN,Beijing,pm25,260,25,85,50,1171.35
2/5/2024,CN,Beijing,pm25,264,53,139,85,2811.96
3/5/2024,CN,Beijing,pm25,268,59,149,87,4798.42
4/5/2024,CN,Beijing,pm25,288,68,167,142,6539.49
5/5/2024,CN,Beijing,pm25,288,76,180,154,4799.74
6/5/2024,CN,Beijing,pm25,286,50,168,102,14849.9
7/5/2024,CN,Beijing,pm25,277,17,155,78,15544.8
8/5/2024,CN,Beijing,pm25,284,57,169,87,12527.3
9/5/2024,CN,Beijing,pm25,284,68,149,107,3287.52
10/5/2024,CN,Beijing,pm25,286,46,410,107,15829.4
11/5/2024,CN,Beijing,pm25,272,21,328,72,33648.5
12/5/2024,CN,Beijing,pm25,284,25,114,59,2977.77
13/05/2024,CN,Beijing,pm25,284,17,155,68,6252.88
14/05/2024,CN,Beijing,pm25,279,17,153,72,17100.1
15/05/2024,CN,Beijing,pm25,256,9,80,30,2561.56
16/05/2024,CN,Beijing,pm25,287,34,139,80,2733.26
17/05/2024,CN,Beijing,pm25,255,61,158,99,4932.74
18/05/2024,CN,Beijing,pm25,225,85,185,147,6905.78
19/05/2024,CN,Beijing,pm25,283,53,231,117,9147.17
20/05/2024,CN,Beijing,pm25,286,21,280,53,6371.96
21/05/2024,CN,Beijing,pm25,263,30,173,70,3299.85
22/05/2024,CN,Beijing,pm25,216,46,220,149,15155.4
23/05/2024,CN,Beijing,pm25,243,46,394,119,14947.9
24/05/2024,CN,Beijing,pm25,285,21,149,55,3091.16
25/05/2024,CN,Beijing,pm25,286,34,168,57,3450.62
26/05/2024,CN,Beijing,pm25,236,5,175,38,11785.8
27/05/2024,CN,Beijing,pm25,279,21,155,68,6639.44
28/05/2024,CN,Beijing,pm25,285,57,155,89,3720.8
29/05/2024,CN,Beijing,pm25,284,53,153,91,3877.09
30/05/2024,CN,Beijing,pm25,286,13,119,63,4442.67
31/05/2024,CN,Beijing,pm25,230,5,76,17,1911.98
1/6/2024,CN,Beijing,pm25,282,21,124,53,3705.78
2/6/2024,CN,Beijing,pm25,283,25,132,61,3456.58
3/6/2024,CN,Beijing,pm25,283,57,127,76,1865.6
4/6/2024,CN,Beijing,pm25,285,42,152,91,7500.83
5/6/2024,CN,Beijing,pm25,286,34,158,104,7848.68
6/6/2024,CN,Beijing,pm25,287,53,160,107,10357.9
7/6/2024,CN,Beijing,pm25,287,13,167,99,24354.7
8/6/2024,CN,Beijing,pm25,286,21,161,89,8748.86
9/6/2024,CN,Beijing,pm25,282,9,192,55,35752.1
10/6/2024,CN,Beijing,pm25,287,5,177,72,32627.5
11/6/2024,CN,Beijing,pm25,282,13,188,42,13138.5
12/6/2024,CN,Beijing,pm25,277,13,154,63,11346.8
13/06/2024,CN,Beijing,pm25,287,13,155,102,16086.3
14/06/2024,CN,Beijing,pm25,225,21,134,65,7639.21
15/06/2024,CN,Beijing,pm25,237,5,172,34,23528.4
16/06/2024,CN,Beijing,pm25,288,25,156,78,10361.9
17/06/2024,CN,Beijing,pm25,272,50,179,91,9703.03
18/06/2024,CN,Beijing,pm25,282,63,157,95,5969.95
19/06/2024,CN,Beijing,pm25,280,63,167,102,6386.8
20/06/2024,CN,Beijing,pm25,281,30,192,109,13133.1
21/06/2024,CN,Beijing,pm25,285,30,158,93,7370.48
22/06/2024,CN,Beijing,pm25,284,17,177,122,16449.1
23/06/2024,CN,Beijing,pm25,288,17,224,107,24537.3
24/06/2024,CN,Beijing,pm25,246,13,139,30,4920.43
25/06/2024,CN,Beijing,pm25,285,17,142,50,6970.7
26/06/2024,CN,Beijing,pm25,287,34,161,93,10187.9
27/06/2024,CN,Beijing,pm25,283,53,129,74,1766.7
28/06/2024,CN,Beijing,pm25,286,65,149,89,1328.25
29/06/2024,CN,Beijing,pm25,287,13,161,99,5720.91
30/06/2024,CN,Beijing,pm25,288,17,158,91,14113
1/7/2024,CN,Beijing,pm25,283,13,132,53,5082.44
2/7/2024,CN,Beijing,pm25,287,38,152,78,4366.85
3/7/2024,CN,Beijing,pm25,287,50,147,78,3833.55
4/7/2024,CN,Beijing,pm25,287,63,162,129,6509.09
5/7/2024,CN,Beijing,pm25,288,46,189,151,10871.5
6/7/2024,CN,Beijing,pm25,288,30,144,63,4288.69
7/7/2024,CN,Beijing,pm25,283,30,152,63,3910.81
8/7/2024,CN,Beijing,pm25,287,30,117,72,3585.25
9/7/2024,CN,Beijing,pm25,287,93,157,132,2432.83
10/7/2024,CN,Beijing,pm25,288,82,160,147,2679.2
11/7/2024,CN,Beijing,pm25,286,104,162,151,1160.77
12/7/2024,CN,Beijing,pm25,280,25,168,78,17283.3
13/07/2024,CN,Beijing,pm25,275,50,156,114,5911.03
14/07/2024,CN,Beijing,pm25,280,70,188,151,6136.96
15/07/2024,CN,Beijing,pm25,232,59,167,117,8685.85
16/07/2024,CN,Beijing,pm25,285,13,154,87,5718.1
17/07/2024,CN,Beijing,pm25,258,13,117,25,6227.88
18/07/2024,CN,Beijing,pm25,272,13,85,46,2497.82
19/07/2024,CN,Beijing,pm25,281,13,137,68,5799.64
20/07/2024,CN,Beijing,pm25,285,13,153,61,4736.85
21/07/2024,CN,Beijing,pm25,209,42,144,89,3470.73
22/07/2024,CN,Beijing,pm25,282,5,151,61,9807.61
23/07/2024,CN,Beijing,pm25,285,34,154,107,7131.54
24/07/2024,CN,Beijing,pm25,277,13,164,78,7145.24
25/07/2024,CN,Beijing,pm25,284,9,107,55,3916.66
26/07/2024,CN,Beijing,pm25,269,13,97,55,5001.67
27/07/2024,CN,Beijing,pm25,283,13,159,59,6955.2
28/07/2024,CN,Beijing,pm25,285,13,99,57,2312.76
29/07/2024,CN,Beijing,pm25,287,13,107,74,4348.49
30/07/2024,CN,Beijing,pm25,264,5,76,30,3221.1
31/07/2024,CN,Beijing,pm25,286,21,109,57,4112
1/8/2024,CN,Beijing,pm25,278,13,104,38,3746.57
2/8/2024,CN,Beijing,pm25,283,13,144,63,5780.71
3/8/2024,CN,Beijing,pm25,287,25,151,65,6390.14
4/8/2024,CN,Beijing,pm25,283,13,152,70,10018.1
5/8/2024,CN,Beijing,pm25,253,9,999,30,39947.5
6/8/2024,CN,Beijing,pm25,288,34,122,65,2948.55
7/8/2024,CN,Beijing,pm25,288,9,164,82,17353.3
8/8/2024,CN,Beijing,pm25,287,25,122,63,3450.28
9/8/2024,CN,Beijing,pm25,286,5,168,97,24576.2
10/8/2024,CN,Beijing,pm25,264,5,99,38,4203.39
11/8/2024,CN,Beijing,pm25,258,5,78,34,3735.72
12/8/2024,CN,Beijing,pm25,123,5,61,13,2170.49
13/08/2024,CN,Beijing,pm25,220,9,72,38,2180.27
14/08/2024,CN,Beijing,pm25,266,30,85,53,1063.5
15/08/2024,CN,Beijing,pm25,288,30,147,82,5160.92
16/08/2024,CN,Beijing,pm25,288,21,159,89,14108.3
17/08/2024,CN,Beijing,pm25,283,34,127,78,3398.11
18/08/2024,CN,Beijing,pm25,286,13,124,57,3529.61
