Periode;Count
1;263
2;270
3;259
4;281
5;267
6;244
7;258
8;286
9;288
10;280
11;288
12;288
13;288
14;243
15;280
16;287
17;287
18;287
19;286
20;284
21;224
22;235
23;246
24;274
25;287
26;260
27;260
28;264
29;261
30;286
31;275
32;264
33;288
34;288
35;287
36;288
37;287
38;281
39;275
40;287
41;279
42;286
43;288
44;286
45;275
46;273
47;287
48;288
49;287
50;253
51;245
52;278
53;230
54;283
55;285
56;284
57;283
58;286
59;287
60;262
61;265
62;287
63;282
64;288
65;279
66;279
67;265
68;235
69;287
70;287
71;287
72;280
73;287
74;278
75;281
76;288
77;266
78;288
79;288
80;277
81;286
82;278
83;288
84;287
85;266
86;287
87;286
88;286
89;288
90;282
91;274
92;284
93;285
94;288
95;286
96;286
97;287
98;255
99;286
100;283
101;285
102;288
103;288
104;288
105;288
106;288
107;281
108;286
109;278
110;278
111;279
112;288
113;285
114;279
115;286
116;281
117;287
118;288
119;267
120;284
121;263
122;260
123;264
124;268
125;288
126;288
127;286
128;277
129;284
130;284
131;286
132;272
133;284
134;284
135;279
136;256
137;287
138;255
139;225
140;283
141;286
142;263
143;216
144;243
145;285
146;286
147;236
148;279
149;285
150;284
151;286
152;230
153;282
154;283
155;283
156;285
157;286
158;287
159;287
160;286
161;282
162;287
163;282
164;277
165;287
166;225
167;237
168;288
169;272
170;282
171;280
172;281
173;285
174;284
175;288
176;246
177;285
178;287
179;283
180;286
181;287
182;288
183;283
184;287
185;287
186;287
187;288
188;288
189;283
190;287
191;287
192;288
193;286
194;280
195;275
196;280
197;232
198;285
199;258
200;272
201;281
202;285
203;209
204;282
205;285
206;277
207;284
208;269
209;283
210;285
211;287
212;264
213;286
214;278
215;283
216;287
217;283
218;253
219;288
220;288
221;287
222;286
223;264
224;258
225;123
226;220
227;266
228;288
229;288
230;283
231;286
232;285
233;272
234;274
235;278
236;285
237;284
238;287
239;271
240;256
241;282
242;286
243;283
244;287
245;267
246;165
247;273
248;288
249;212
250;265
251;279
252;269
253;286
254;187
255;264
256;273
257;284
258;234
259;281
260;288
261;275
262;288
263;284
264;203
265;74
266;171
267;282
268;286
269;262
270;284
271;288
272;284
273;288
274;110
275;152
276;241
277;284
278;288
279;284
280;283
281;250
282;284
283;288
284;193
285;284
286;285
287;287
288;283
289;281
290;283
291;281
292;287
293;116
294;280
295;285
296;253
297;283
298;287
299;288
300;287
301;193
302;284
303;285
304;288
305;286
306;286
307;286
308;211
309;127
310;272
311;286
312;286
313;287
314;288
315;286
316;286
317;281
318;277
319;286
320;285
321;262
322;240
323;286
324;280
325;286
326;278
327;285
328;287
329;287
330;227
331;100
332;230
333;233
334;281
335;285
336;286
337;156
338;282
339;284
340;251
341;279
342;257
343;258
344;285
345;282
346;287
347;287
348;275
349;270
350;272
351;283
352;274
353;233
354;287
355;282
356;234
357;251
358;276
359;287
360;278
361;244
362;251
363;279
364;285
365;284
366;285
367;283
368;280
369;258
370;265
371;269
372;276
373;244
374;223
375;255
376;284
377;288
378;278
379;281
380;252
381;263
382;271
383;281
384;288
385;280
386;281
387;283
388;288
389;283
390;286
391;288
392;266
393;189
394;219
395;288
396;288
397;285
398;287
399;277
400;213
401;236
402;272
403;275
404;224
405;236
406;276
407;282
408;288
409;267
410;284
411;288
412;284
413;280
414;245
415;285
416;275
417;275
418;263
419;265
420;269
421;284
422;279
423;287
424;285
425;288
426;288
427;278
428;281
429;284
430;264
431;235
432;263
433;260
434;241
435;262
436;262
437;240
438;260
439;259
440;262
441;252
442;261
443;233
444;258
445;243
446;251
447;258
448;264
449;258
450;251
451;260
452;252
453;250
454;225
455;253
456;264
457;248
458;224
459;263
460;252
461;213
462;262
463;259
464;254
465;261
466;260
467;262
468;255
469;261
470;251
471;261
472;260
473;260
474;263
475;264
476;264
477;260
478;239
479;256
480;236
481;263
482;262
483;219
484;261
485;260
486;261
487;243
488;264
489;240
490;264
491;262
492;261
493;264
494;262
495;246
496;262
497;259
498;261
499;263
500;258
501;259
502;263
503;262
504;258
505;262
506;263
507;261
508;260
509;264
510;262
511;264
512;256
513;261
514;261
515;256
516;264
517;263
518;261
519;159
520;87
521;237
522;233
523;251
524;250
525;262
526;261
527;247
528;263
529;259
530;261
531;258
532;210
533;218
534;257
535;257
536;260
537;243
538;242
539;258
540;254
541;262
542;264
543;263
544;262
545;264
546;264
547;261
548;261
549;256
550;256
551;261
552;261
553;254
554;254
555;260
556;260
557;183
558;183
559;149
560;149
561;259
562;257
563;262
564;247
565;263
566;259
567;248
568;248
569;261
570;260
571;179
572;259
573;264
574;243
575;255
576;262
577;263
578;262
579;259
580;192
581;264
582;259
583;242
584;237
585;262
586;264
587;264
588;263
589;263
590;258
591;264
592;258
593;264
594;216
595;260
596;248
597;230
598;236
599;256
600;264
601;264
602;262
603;254
604;261
605;257
606;258
607;251
608;253
609;247
610;259
611;248
612;263
613;223
614;257
615;256
616;260
617;254
618;263
619;262
620;263
621;262
