PERIODE;DCOILWTICO
1;72,76
2;73,72
3;75,82
4;78,4
5;76,5
6;75,49
7;76,9
8;74,52
9;71,28
10;70,11
11;70,09
12;68,58
13;69,65
14;66,73
15;68,25
16;69,89
17;69,59
18;71,1
19;72,16
20;71,87
21;72,86
22;72,72
23;71,33
24;72,34
25;70,42
26;68,28
27;68,72
28;68,75
29;70,41
30;70,74
31;74,33
32;74,93
33;77,76
34;74,26
35;73,85
36;76,46
37;76,11
38;71,22
39;70,97
40;71,26
41;69,78
42;71,16
43;72,84
44;71,37
45;70,58
46;72,02
47;67,65
48;67,48
49;68,91
50;69,58
51;69,81
52;71,83
53;72,26
54;71,98
55;72,69
56;70,69
57;68,43
58;68,76
59;68,99
60;67,33
61;69,46
62;69,75
63;69,25
64;70,39
65;71,68
66;69,41
67;69,05
68;69,03
69;68,26
70;68,35
71;70,15
72;68,81
73;68,58
74;68,58
75;68,65
76;68,85
77;70,57
78;70,25
79;71,54
80;71,03
81;70,31
82;70,8
83;70,1
84;69,71
85;69,5
86;70,87
87;70,38
88;71,28
89;71,73
90;72,44
91;73,79
92;74,64
93;74,31
94;74,99
95;73,99
96;77,27
97;79,57
98;78,2
99;80,73
100;79,35
101;78,56
102;76,79
103;76,12
104;75,03
105;74,97
106;73,51
107;74,15
108;72,94
109;73,1
110;72,84
111;73,52
112;73,04
113;71,39
114;70,97
115;71,32
116;72,73
117;73,67
118;71,72
119;71,66
120;71,05
121;72,21
122;72,58
123;72,88
124;70,72
125;71,06
126;69,15
127;68,87
128;70,62
129;69,97
130;68,63
131;68,47
132;66,58
133;66,62
134;67,29
135;66,31
136;66,52
137;67,65
138;66,82
139;67,43
140;67,84
141;67,49
142;67,4
143;68,55
144;68,52
145;69,46
146;69,48
147;70,05
148;70,3
149;69,74
150;71,87
151;71,61
152;72,12
153;67,43
154;62,42
155;61,05
156;60,04
157;62,63
158;60,57
159;61,91
160;61,99
161;61,74
162;62,88
163;65,07
164;63,48
165;64,6
166;62,64
167;63,55
168;63,85
169;63,3
170;61,84
171;59,55
172;60,59
173;59,67
174;58,5
175;60,42
176;59,42
177;61,25
178;62,37
179;63,32
180;65,04
181;64,48
182;63,03
183;63,84
184;63,98
185;63,97
186;62,93
187;62,55
188;62,89
189;61,61
190;62,54
191;61,66
192;61,46
193;63,27
194;64,1
195;63,57
196;64,06
197;65,3
198;65,99
199;65,66
200;68,91
201;68,73
202;73,84
203;72,53
204;75,62
205;75,89
206;75,72
207;69,36
208;65,45
209;65,98
210;66,44
211;66,66
212;66,3
213;66,64
214;68,66
215;68,13
216;69,16
217;69,55
218;69,61
219;67,78
220;69,63
221;68,19
222;67,76
223;67,13
224;68,76
225;68,53
226;68,39
227;67,56
228;66,05
229;67,16
230;66,38
231;67,81
232;70,27
233;71,09
234;70,36
235;68,39
236;67,33
237;66,2
238;65,38
239;64,9
240;64,94
241;65,03
242;64,22
243;63,68
244;64,99
245;63,78
246;64,51
247;63,38
248;64,19
249;64,56
250;64,08
251;65,18
252;63,6
253;64,49
254;64,96
255;64,36
256;65,95
257;64,36
258;63,81
259;62,22
260;62,6
261;62,97
262;64,01
263;62,71
264;63,02
265;63,66
266;64,89
267;64,41
268;63,91
269;63,02
270;62,99
271;63,76
272;65,4
273;65,51
274;66,5
275;64,27
276;63,17
277;62,59
278;61,28
279;61,65
280;62,49
281;62,52
282;63,37
283;62,36
284;59,75
285;59,52
286;59,08
287;58,29
288;58,3
289;58,34
290;58,66
291;59,3
292;62,44
293;62,27
294;62,13
295;60,97
296;61,26
297;61,36
298;61,75
299;61,79
300;61,38
301;60,4
302;60,24
303;60,54
304;60,94
305;59,3
306;59,54
307;60,87
308;60,66
309;61,51
310;60,27
311;60,07
312;58,86
313;59,11
314;58,25
315;58,81
316;58,58
317;59,47
318;58,81
319;59,09
320;59,82
321;60,23
322;59,04
323;58,4
324;58,67
325;57,76
326;57,61
327;56,97
328;55,44
329;56,07
330;56,22
331;56,8
332;58,18
333;58,55
334;58,72
335;56,6
336;57,89
337;57,79
338;57,26
339;57,21
340;58,1
341;56,97
342;56,01
343;57,74
344;58,96
345;59,39
346;60,85
347;61,84
348;59,13
349;59,4
350;60,3
351;60,38
352;59,24
353;60,7
354;60,46
355;62,04
356;62,75
357;64,77
358;64,5
359;61,6
360;62,62
361;64,56
362;62,9
363;63,77
364;64,53
365;64,2
366;64,8
367;63,08
368;63,05
369;62,53
370;65,33
371;66,66
372;66,69
373;66,36
374;65,62
375;65,3
376;65,1
377;66,96
378;71,13
379;74,48
380;74,58
381;80,88
382;90,77
383;94,65
384;83,71
385;86,8
386;95,61
387;98,48
388;93,39
389;96,01
390;96,12
391;96,11
392;98,71
393;89,33
394;93,18
395;91,51
396;96,18
397;101,26
398;104,69
399;102,86
400;101,9
401;113,23
402;114,01
403;114,58
404;96,17
405;99,62
406;98,34
407;100,72
408;93,07
409;93,04
410;96,46
411;85,91
412;91,06
413;93,64
414;94,76
415;99,27
416;98,42
417;99,89
418;103,45
419;110,47
420;108,64
421;105,38
422;109,76
423;105,66
424;98,75
425;98,38
426;98,87
427;101,56
428;105,78
429;104,52
430;104,66
431;108,99
432;112,25
433;112,09
434;101,69
435;100,2
436;100,35
437;97,63
438;92,35
439;92,65
440;91,16
441;95,96
442;97,47
443;99,76
444;96,83
445;94,32
446;95
447;91,9
448;93,68
449;91,58
450;88,62
451;84,65
452;79,8
453;80,65
454;80,35
455;78,94
456;74,62
457;71,42
458;72,67
459;70,3
460;71,87
461;70,56
462;69,74
463;69,73
464;69,6
465;71,53
466;74,56
467;73,15
468;72,45
469;79,2
470;80,44
471;80,73
472;80,03
473;83,43
474;84,38
475;86,04
476;87,66
477;93,08
478;91,74
479;84,25
480;80,91
481;86,08
482;85,15
483;86,16
484;81,96
485;77,33
486;76,78
487;78,88
488;79,77
489;83,76
490;84,77
491;84,97
492;82,77
493;83,99
494;86,04
495;86,48
496;87,28
497;89,75
498;87,21
499;86,34
500;83,9
