Periode;USD_per_troy_ounce
1980-01;675
1980-02;665
1980-03;554
1980-04;517
1980-05;514
1980-06;601
1980-07;643
1980-08;627
1980-09;674
1980-10;661
1980-11;625
1980-12;538
1981-01;557,39
1981-02;500
1981-03;499
1981-04;496
1981-05;480
1981-06;461
1981-07;409
1981-08;410
1981-09;444
1981-10;438
1981-11;413
1981-12;410
1982-01;384
1982-02;374
1982-03;330
1982-04;350
1982-05;334
1982-06;315
1982-07;339
1982-08;364
1982-09;437
1982-10;422
1982-11;415
1982-12;445
1983-01;481
1983-02;491
1983-03;420
1983-04;433
1983-05;438
1983-06;413
1983-07;403
1983-08;416
1983-09;412
1983-10;394
1983-11;382
1983-12;388
1984-01;371
1984-02;386
1984-03;394
1984-04;381
1984-05;377
1984-06;378
1984-07;348
1984-08;348
1984-09;340
1984-10;341
1984-11;342
1984-12;320
1985-01;303
1985-02;299
1985-03;314
1985-04;327
1985-05;316
1985-06;317
1985-07;317
1985-08;330
1985-09;323
1985-10;326
1985-11;322
1985-12;322
1986-01;347
1986-02;339
1986-03;346
1986-04;340
1986-05;342
1986-06;343
1986-07;348
1986-08;377
1986-09;418
1986-10;424
1986-11;398
1986-12;391
1987-01;408
1987-02;401
1987-03;409
1987-04;438
1987-05;460
1987-06;450
1987-07;451
1987-08;461
1987-09;460
1987-10;465
1987-11;468
1987-12;486
1988-01;477
1988-02;442
1988-03;444
1988-04;452
1988-05;451
1988-06;451
1988-07;438
1988-08;431
1988-09;413
1988-10;407
1988-11;420
1988-12;419
1989-01;404
1989-02;388
1989-03;390
1989-04;384
1989-05;371
1989-06;368
1989-07;375
1989-08;365
1989-09;362
1989-10;367
1989-11;394
1989-12;409,39
1990-01;410
1990-02;417
1990-03;393
1990-04;374
1990-05;369
1990-06;352
1990-07;363
1990-08;395
1990-09;389
1990-10;381
1990-11;382
1990-12;377
1991-01;384
1991-02;364
1991-03;363
1991-04;358
1991-05;357
1991-06;366,72
1991-07;368
1991-08;356
1991-09;349
1991-10;359
1991-11;360
1991-12;362
1992-01;354
1992-02;354
1992-03;344
1992-04;339
1992-05;337
1992-06;341
1992-07;353
1992-08;343
1992-09;345
1992-10;344
1992-11;335,02
1992-12;335
1993-01;329
1993-02;329
1993-03;330
1993-04;342
1993-05;367
1993-06;372
1993-07;392
1993-08;379
1993-09;355
1993-10;364
1993-11;374
1993-12;383
1994-01;387
1994-02;382
1994-03;384
1994-04;377
1994-05;381
1994-06;386
1994-07;385
1994-08;380
1994-09;392
1994-10;390
1994-11;384
1994-12;379
1995-01;379
1995-02;377
1995-03;382
1995-04;391
1995-05;385
1995-06;388
1995-07;386
1995-08;384
1995-09;383
1995-10;383
1995-11;385
1995-12;387
1996-01;399
1996-02;405
1996-03;396
1996-04;393
1996-05;392
1996-06;385
1996-07;383
1996-08;387
1996-09;383
1996-10;381
1996-11;378
1996-12;369
1997-01;355
1997-02;347
1997-03;352
1997-04;344
1997-05;344
1997-06;341
1997-07;324
1997-08;324
1997-09;323
1997-10;325
1997-11;306
1997-12;288,74
1998-01;289
1998-02;297
1998-03;296
1998-04;308
1998-05;299
1998-06;292
1998-07;293
1998-08;284
1998-09;289
1998-10;296
1998-11;294
1998-12;292
1999-01;287
1999-02;287
1999-03;286
1999-04;283
1999-05;276
1999-06;261
1999-07;256
1999-08;257
1999-09;265
1999-10;311
1999-11;293
1999-12;283
2000-01;284
2000-02;300
2000-03;286
2000-04;280
2000-05;275
2000-06;286
2000-07;282
2000-08;274,47
2000-09;274
2000-10;270
2000-11;266
2000-12;271
2001-01;265
2001-02;262
2001-03;263
2001-04;260,48
2001-05;272
2001-06;270
2001-07;268
2001-08;272
2001-09;283
2001-10;283
2001-11;276
2001-12;276
2002-01;282
2002-02;296
2002-03;294
2002-04;303
2002-05;314
2002-06;321
2002-07;313
2002-08;310
2002-09;319
2002-10;317
2002-11;319
2002-12;332
2003-01;356,86
2003-02;359
2003-03;341
2003-04;328
2003-05;356
2003-06;356
2003-07;351
2003-08;360
2003-09;378,95
2003-10;379
2003-11;390
2003-12;406,953
2004-01;414
2004-02;405
2004-03;407
2004-04;403
2004-05;383,78
2004-06;392,37
2004-07;398
2004-08;401
2004-09;405
2004-10;420
2004-11;439
2004-12;442
2005-01;424
2005-02;423
2005-03;434
2005-04;429
2005-05;422
2005-06;431
2005-07;424,48
2005-08;438
2005-09;456,05
2005-10;470
2005-11;477
2005-12;510
2006-01;550
2006-02;555
2006-03;557
2006-04;611
2006-05;675
2006-06;596
2006-07;634
2006-08;633
2006-09;598
2006-10;586
2006-11;627,827
2006-12;630
2007-01;631
2007-02;664,75
2007-03;655
2007-04;679
2007-05;667,31
2007-06;656
2007-07;665
2007-08;665,41
2007-09;712,65
2007-10;755
2007-11;806
2007-12;803
2008-01;890
2008-02;922
2008-03;968
2008-04;910
2008-05;889
2008-06;889
2008-07;940
2008-08;839
2008-09;830
2008-10;807
2008-11;761
2008-12;816
2009-01;859
2009-02;943
2009-03;924
2009-04;890
2009-05;929
2009-06;946
2009-07;934
2009-08;949
2009-09;996,59
2009-10;1043
2009-11;1127
2009-12;1135
2010-01;1118
2010-02;1095
2010-03;1113
2010-04;1149
2010-05;1205
2010-06;1233
2010-07;1193
2010-08;1216
2010-09;1271
2010-10;1342
2010-11;1370
2010-12;1391
2011-01;1360
2011-02;1375
2011-03;1423
2011-04;1481
2011-05;1513
2011-06;1529
2011-07;1573
2011-08;1759
2011-09;1772
2011-10;1666
2011-11;1739
2011-12;1640
2012-01;1654
2012-02;1745
2012-03;1676
2012-04;1649
2012-05;1589
2012-06;1599
2012-07;1594
2012-08;1630
2012-09;1745
2012-10;1746,58
2012-11;1722
2012-12;1685
2013-01;1672
2013-02;1628
2013-03;1593
2013-04;1488
2013-05;1414
2013-06;1343
2013-07;1286
2013-08;1352
2013-09;1349
2013-10;1317
2013-11;1276
2013-12;1222
2014-01;1244
2014-02;1300
2014-03;1336
2014-04;1298,45
2014-05;1289
2014-06;1279
2014-07;1311
2014-08;1295
2014-09;1236,55
2014-10;1222
2014-11;1175
2014-12;1201
2015-01;1251
2015-02;1227
2015-03;1179
2015-04;1199
2015-05;1199
2015-06;1182
2015-07;1128
2015-08;1118
2015-09;1125
2015-10;1159
2015-11;1086
2015-12;1076
2016-01;1098
2016-02;1200
2016-03;1245
2016-04;1242
2016-05;1261
2016-06;1276
2016-07;1337
2016-08;1340
2016-09;1327
2016-10;1267
2016-11;1238
2016-12;1157
2017-01;1192
2017-02;1234
2017-03;1231
2017-04;1267
2017-05;1246
2017-06;1260
2017-07;1237
2017-08;1283
2017-09;1314
2017-10;1280
2017-11;1281,9
2017-12;1264
2018-01;1331
2018-02;1331
2018-03;1325
2018-04;1335
2018-05;1303
2018-06;1282
2018-07;1238
2018-08;1202
2018-09;1198
2018-10;1215
2018-11;1221
2018-12;1250
2019-01;1292
2019-02;1320
2019-03;1301
2019-04;1286
2019-05;1284
2019-06;1359
2019-07;1413
2019-08;1500
2019-09;1511
2019-10;1495
2019-11;1471
2019-12;1479
2020-01;1561
2020-02;1597
2020-03;1592
2020-04;1683
2020-05;1716
2020-06;1732
2020-07;1847
2020-08;1969
2020-09;1922
2020-10;1900
2020-11;1866
2020-12;1858
2021-01;1867
2021-02;1808
2021-03;1718
2021-04;1760
2021-05;1850
2021-06;1835
2021-07;1808
2021-08;1785
2021-09;1775
2021-10;1777
2021-11;1822
2021-12;1790
2022-01;1816
2022-02;1856
2022-03;1948
2022-04;1937
2022-05;1849
2022-06;1837
2022-07;1733
2022-08;1765
2022-09;1680,78
2022-10;1664
2022-11;1725
2022-12;1798
2023-01;1898
2023-02;1855
2023-03;1913
2023-04;2000
2023-05;1992
2023-06;1943
2023-07;1951
2023-08;1919
2023-09;1916
2023-10;1916
2023-11;1984
2023-12;2026
2024-01;2034
2024-02;2023
2024-03;2158
2024-04;2331
2024-05;2351
2024-06;2326
2024-07;2398
2024-08;2470
2024-09;2571
2024-10;2690
2024-11;2651
2024-12;2648
2025-01;2710
2025-02;2895
2025-03;2983
2025-04;3218
2025-05;3309
2025-06;3353
2025-07;3340
2025-08;3368
2025-09;3667,68
2025-10;4058,33
2025-11;4087
2025-12;4309
